constituency_name,party,mp_name,category_2024,2024,category_2029,2029
Darlington,LAB,Lola McEvoy,Christian plurality,49.77753861082067,Non-religious majority,50.72092227825616
Dartford,LAB,Jim Dickson,Christian plurality,46.55342248621698,Non-religious plurality,43.03393766479513
Daventry,CON,Stuart Andrew,Christian plurality,49.840468307754314,Non-religious plurality,48.80179900331068
Derby North,LAB,Catherine Atkinson,Non-religious plurality,42.76037859738192,Non-religious plurality,48.91185417858625
Derby South,LAB,Baggy Shanker,Christian plurality,36.48834702156063,Non-religious plurality,35.84607007729893
Derbyshire Dales,LAB,John Whitby,Christian majority,52.87515394927278,Non-religious plurality,47.99461837761632
Dewsbury and Batley,IND,Iqbal Mohamed,Muslim plurality,41.292943043843785,Muslim plurality,45.15775868078442
Didcot and Wantage,LDM,Olly Glover,Non-religious plurality,46.2191492563279,Non-religious majority,54.02716273756057
Doncaster Central,LAB,Sally Jameson,Christian majority,50.46036824564039,Non-religious plurality,45.489831057295376
Doncaster East and the Isle of Axholme,LAB,Lee Pitcher,Christian majority,53.83029032207224,Non-religious plurality,47.87215426349836
Doncaster North,LAB,Ed Miliband,Christian plurality,48.96495418989051,Non-religious majority,53.899575518032385
Dorking and Horley,LDM,Chris Coghlan,Christian plurality,49.08234471025045,Non-religious plurality,48.78841800409213
Dover and Deal,LAB,Mike Tapp,Christian plurality,48.16724891757289,Non-religious majority,52.945832363020784
Droitwich and Evesham,CON,Nigel Huddleston,Christian majority,55.867581601597,Christian plurality,47.812314486912946
Dudley,LAB,Sonia Kumar,Christian plurality,48.040457546913515,Non-religious plurality,43.470137041979406
Dulwich and West Norwood,LAB,Helen Hayes,Non-religious plurality,42.207916360905614,Non-religious plurality,46.848642488645794
Dunstable and Leighton Buzzard,LAB,Alex Mayer,Christian plurality,47.441825166609604,Non-religious majority,50.41911407861189
Dwyfor Meirionnydd,PC,Liz Saville-Roberts,Christian plurality,47.78454485026432,Non-religious majority,52.74953599319292
Ealing Central and Acton,LAB,Rupa Huq,Christian plurality,39.70086644727907,Christian plurality,35.3075499949573
Ealing North,LAB,James Murray,Christian plurality,42.54626181225804,Christian plurality,38.578191737686886
Ealing Southall,LAB,Deirdre Costigan,Christian plurality,29.943029439306386,Christian plurality,26.952438729892826
Earley and Woodley,LAB,Yuan Yang,Christian plurality,38.892746420981105,Non-religious plurality,41.8265017657698
Easington,LAB,Grahame Morris,Christian majority,53.80500862589831,Non-religious majority,50.53446347704787
East Grinstead and Uckfield,CON,Mims Davies,Christian plurality,47.67376908982544,Non-religious majority,51.61315797203743
East Ham,LAB,Stephen Timms,Muslim plurality,44.33101938674526,Muslim plurality,47.73886461160259
East Hampshire,CON,Damian Hinds,Christian majority,50.402704611869474,Non-religious majority,50.22639220954783
East Surrey,CON,Claire Coutinho,Christian plurality,49.44635718714848,Non-religious plurality,48.304914116821855
East Thanet,LAB,Polly Billington,Non-religious plurality,47.10316331288513,Non-religious majority,55.4501109495784
East Wiltshire,RFM,Danny Kruger,Christian majority,50.88210276287312,Non-religious plurality,47.66037868357447
East Worthing and Shoreham,LAB,Tom Rutland,Non-religious plurality,48.899029432134355,Non-religious majority,57.16810260155093
Eastbourne,LDM,Josh Babarinde,Christian plurality,45.33330446060661,Non-religious majority,51.995062166504155
Eastleigh,LDM,Liz Jarvis,Non-religious plurality,45.78648329530931,Non-religious majority,54.46333536948562
Edmonton and Winchmore Hill,LAB,Kate Osamor,Christian plurality,45.94306670007696,Christian plurality,40.734465544403044
Ellesmere Port and Bromborough,LAB,Justin Madders,Christian majority,52.59969751609812,Non-religious plurality,49.51908063626422
Eltham and Chislehurst,LAB,Clive Efford,Christian plurality,45.95007874390727,Non-religious plurality,42.58639709061465
Ely and East Cambridgeshire,LDM,Charlotte Cane,Christian plurality,46.883479863898344,Non-religious majority,52.45323569815419
Enfield North,LAB,Feryal Clark,Christian plurality,45.80789211445053,Christian plurality,40.358723360917224
Epping Forest,CON,Neil Hudson,Christian plurality,47.02053488337964,Christian plurality,40.27016388310585
Epsom and Ewell,LDM,Helen Maguire,Christian plurality,47.60135593522071,Non-religious plurality,44.310684977348004
Erewash,LAB,Adam Thompson,Non-religious majority,52.848998575104666,Non-religious majority,61.27876309698862
Erith and Thamesmead,LAB,Abena Oppong-Asare,Christian plurality,48.62908722700009,Christian plurality,43.2134638399638
Esher and Walton,LDM,Monica Harding,Christian plurality,48.73574762637578,Non-religious plurality,46.25044083484147
Exeter,LAB,Steve Race,Non-religious majority,51.464814374802614,Non-religious majority,58.77750958707142
Exmouth and Exeter East,CON,David Reed,Non-religious plurality,46.41396489132475,Non-religious majority,54.83102034944337
Fareham and Waterlooville,RFM,Suella Braverman,Non-religious plurality,46.91999039615703,Non-religious majority,55.22081946030794
Farnham and Bordon,CON,Gregory Stafford,Christian plurality,48.90250507066479,Non-religious plurality,49.943087315993914
Faversham and Mid Kent,CON,Helen Whately,Christian plurality,47.989848540112405,Non-religious majority,52.22311368380581
Feltham and Heston,LAB,Seema Malhotra,Christian plurality,37.23611819092715,Christian plurality,34.52089192011034
Filton and Bradley Stoke,LAB,Claire Hazelgrove,Non-religious plurality,47.85368051845301,Non-religious majority,55.46478890279416
Finchley and Golders Green,LAB,Sarah Sackman,Christian plurality,30.931182457488042,Christian plurality,28.07275794741411
Folkestone and Hythe,LAB,Tony Vaughan,Christian plurality,46.37093548797664,Non-religious majority,51.479381725485204
Forest of Dean,LAB,Matt Bishop,Christian plurality,49.580182710453855,Non-religious majority,51.59176642105994
Frome and East Somerset,LDM,Anna Sabine,Non-religious plurality,48.47259469480068,Non-religious majority,56.783063676578735
Fylde,CON,Andrew Snowden,Christian majority,59.656707661227536,Christian majority,52.28580818155033
Gainsborough,CON,Edward Leigh,Christian majority,53.41462387112068,Non-religious plurality,48.028241746754574
